#TYPE System.Management.Automation.PSCustomObject
"DirName","Lines","HasXml"
"speccrew-knowledge-bizs-dispatch","1026","True"
"speccrew-fd-feature-design","761","True"
"speccrew-knowledge-techs-generate-quality","580","True"
"speccrew-knowledge-bizs-ui-analyze","546","True"
"speccrew-knowledge-bizs-ui-graph","444","True"
"speccrew-knowledge-bizs-ui-style-extract","402","True"
"speccrew-dev-backend","397","True"
"speccrew-dev-desktop-electron","385","True"
"speccrew-dev-desktop-tauri","378","True"
"speccrew-knowledge-bizs-identify-entries","354","True"
"speccrew-knowledge-techs-dispatch","342","True"
"speccrew-dev-frontend","320","True"
"speccrew-dev-mobile","310","True"
"speccrew-knowledge-bizs-api-graph","295","True"
"speccrew-pm-sub-prd-generate","292","True"
"speccrew-fd-feature-analyze","267","True"
"speccrew-fd-api-contract","263","True"
"speccrew-knowledge-bizs-init-features","246","True"
"speccrew-dev-review-backend","220","True"
"speccrew-knowledge-module-summarize","193","True"
"speccrew-knowledge-techs-generate-ui-style","192","True"
"speccrew-pm-module-initializer","189","True"
"speccrew-dev-review-desktop","189","True"
"speccrew-dev-review-mobile","189","True"
"speccrew-knowledge-techs-init","188","True"
"speccrew-dev-review-frontend","185","True"
"speccrew-product-manager-orchestration","177","True"
"speccrew-knowledge-techs-generate","168","True"
"speccrew-knowledge-techs-index","166","True"
"speccrew-agentflow-manager","161","True"
"speccrew-knowledge-system-summarize","160","True"
"speccrew-knowledge-techs-generate-conventions","154","True"
"speccrew-knowledge-bizs-api-analyze","150","True"
"speccrew-knowledge-techs-ui-analyze","147","True"
"speccrew-pm-requirement-clarify","142","True"
"speccrew-test-runner","136","True"
"speccrew-test-reporter","118","True"
"speccrew-feature-designer-orchestration","117","True"
"speccrew-pm-module-matcher","114","True"
"speccrew-pm-phase2-complexity-assess","111","True"
"speccrew-knowledge-graph-query","110","True"
"speccrew-system-developer-orchestration","110","True"
"speccrew-pm-requirement-assess","107","True"
"speccrew-pm-phase5-subprd-dispatch","107","True"
"speccrew-test-manager-orchestration","106","True"
"speccrew-task-worker-execution","106","True"
"speccrew-knowledge-graph-write","104","True"
"speccrew-pm-knowledge-detector","99","True"
"speccrew-pm-phase1-knowledge-check","95","True"
"speccrew-pm-phase6-verify-confirm","92","True"
"speccrew-system-deployer-orchestration","91","True"
"speccrew-team-leader-routing","91","True"
"speccrew-deploy-smoke-test","91","True"
"speccrew-pm-phase0-init","88","True"
"speccrew-pm-requirement-model","88","True"
"speccrew-pm-requirement-simple","87","True"
"speccrew-deploy-startup","86","True"
"speccrew-knowledge-bizs-module-classify","81","True"
"speccrew-deploy-migrate","80","True"
"speccrew-test-code-gen","77","True"
"speccrew-deploy-build","75","True"
"speccrew-pm-requirement-analysis","75","True"
"speccrew-test-case-design","74","True"
"speccrew-system-designer-orchestration","51","True"
"speccrew-get-timestamp","44","True"
"speccrew-sd-framework-evaluate","17","True"
"speccrew-sd-mobile","17","True"
"speccrew-sd-frontend","17","True"
"speccrew-sd-desktop","17","True"
"speccrew-sd-backend","17","True"
"speccrew-sd-design-overview-generate","17","True"
